Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetQ2_1, Signal Layers Only, 0mm
    NetQ3_1, Signal Layers Only, 0mm
    NetQ4_1, Signal Layers Only, 0mm
    NetQ5_1, Signal Layers Only, 0mm
    NetR107_2, Signal Layers Only, 0mm
    NetR110_2, Signal Layers Only, 0mm
    NetR111_1, Signal Layers Only, 2.7829mm
    NetR111_2, Signal Layers Only, 0mm
    NetR113_2, Signal Layers Only, 2.4069mm
    NetR114_2, Signal Layers Only, 0mm
    NetR116_1, Signal Layers Only, 0mm
    NetR116_2, Signal Layers Only, 0mm
    NetR119_2, Signal Layers Only, 0mm
    NetR11_1, Signal Layers Only, 12.3731mm
    NetR123_2, Signal Layers Only, 9.8949mm
    NetR136_1, Signal Layers Only, 0mm
    NetR13_2, Signal Layers Only, 0mm
    NetR140_1, Signal Layers Only, 0mm
    NetR142_1, Signal Layers Only, 3.242mm
    NetR149_2, Signal Layers Only, 0mm
    NetR151_2, Signal Layers Only, 0mm
    NetR156_1, Signal Layers Only, 3.8709mm
    NetR184_1, Signal Layers Only, 0mm
    NetR189_2, Signal Layers Only, 0mm
    NetR190_2, Signal Layers Only, 2.4049mm
    NetR195_1, Signal Layers Only, 0mm
    NetR196_1, Signal Layers Only, 3.5434mm
    NetR197_1, Signal Layers Only, 3.0335mm
    NetR19_2, Signal Layers Only, 2.6393mm
    NetR202_1, Signal Layers Only, 0mm
    NetR203_1, Signal Layers Only, 3.3344mm
    NetR20_1, Signal Layers Only, 7.6544mm
    NetR210_2, Signal Layers Only, 0mm
    NetR213_1, Signal Layers Only, 0mm
    NetR214_1, Signal Layers Only, 0mm
    NetR215_1, Signal Layers Only, 0mm
    NetR216_1, Signal Layers Only, 0mm
    NetR217_1, Signal Layers Only, 0mm
    NetR21_1, Signal Layers Only, 2.6306mm
